1.92367069372179e-16+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
1.92367069372179e-16+0i,0.45+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.483333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.133333333333333+0i,1.5707963267949+0i,0+0i,0.133333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
-1.5707963267949+0i,0+0i,0.783333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.816666666666667+0i
1.92367069372179e-16+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
1.92367069372179e-16+0i,0.466666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.5+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.15+0i,1.5707963267949+0i,0+0i,0.15+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
-1.5707963267949+0i,0+0i,0.8+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.833333333333333+0i
1.92367069372179e-16+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
1.92367069372179e-16+0i,0.483333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.516666666666667+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.166666666666667+0i,1.5707963267949+0i,0+0i,0.166666666666667+0i,-1.5707963267949+0i,0+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
-1.5707963267949+0i,0+0i,0.816666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.85+0i
1.92367069372179e-16+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
1.92367069372179e-16+0i,0.5+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.533333333333333+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.183333333333333+0i,1.5707963267949+0i,0+0i,0.183333333333333+0i,-1.5707963267949+0i,0+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.833333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.866666666666667+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.516666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.55+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.2+0i,-1.5707963267949+0i,0+0i,0.2+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.85+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.883333333333333+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.533333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.566666666666667+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.216666666666667+0i,-1.5707963267949+0i,0+0i,0.216666666666667+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.866666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.9+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.55+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.583333333333333+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.233333333333333+0i,-1.5707963267949+0i,0+0i,0.233333333333333+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.883333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.916666666666667+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.566666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.6+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.25+0i,-1.5707963267949+0i,0+0i,0.25+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.9+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.933333333333333+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.583333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.616666666666667+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.266666666666667+0i,-1.5707963267949+0i,0+0i,0.266666666666667+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.916666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.95+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.6+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.633333333333333+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.283333333333333+0i,-1.5707963267949+0i,0+0i,0.283333333333333+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.933333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.966666666666667+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.616666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.65+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,0+0i
0.3+0i,-1.5707963267949+0i,0+0i,0.3+0i,-1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.95+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.983333333333333+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,7+0i
0+0i,0.633333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.666666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.316666666666667+0i,-1.5707963267949+0i,0+0i,0.316666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.966666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0+0i
0+0i,0+0i,3+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.65+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.683333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.333333333333333+0i,-1.5707963267949+0i,0+0i,0.333333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.983333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0166666666666667+0i
0+0i,0+0i,3+0i,0+0i,0+0i,8+0i
0+0i,0.666666666666667+0i,1.5707963267949+0i,0+0i,0.7+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.35+0i,1.5707963267949+0i,0+0i,0.366666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0333333333333333+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.683333333333333+0i,1.5707963267949+0i,0+0i,0.716666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.366666666666667+0i,1.5707963267949+0i,0+0i,0.383333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.0166666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.05+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.7+0i,-1.5707963267949+0i,0+0i,0.733333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.383333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.4+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.0333333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0666666666666667+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.716666666666667+0i,-1.5707963267949+0i,0+0i,0.75+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.4+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.416666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.05+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0833333333333333+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.733333333333333+0i,-1.5707963267949+0i,0+0i,0.766666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.416666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.433333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.0666666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.1+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.75+0i,-1.5707963267949+0i,0+0i,0.783333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.433333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.45+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.0833333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.116666666666667+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.766666666666667+0i,-1.5707963267949+0i,0+0i,0.8+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.45+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.466666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.1+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.133333333333333+0i
0+0i,0+0i,4+0i,0+0i,0+0i,8+0i
0+0i,0.783333333333333+0i,-1.5707963267949+0i,0+0i,0.816666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.466666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.483333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,0+0i,0.116666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.15+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.8+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.833333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.483333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.5+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
1.5707963267949+0i,0+0i,0.133333333333333+0i,-1.5707963267949+0i,0+0i,0.166666666666667+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.816666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.85+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.5+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.516666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
1.5707963267949+0i,0+0i,0.15+0i,-1.5707963267949+0i,0+0i,0.183333333333333+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.833333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.866666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,1.92367069372179e-16+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.516666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.533333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.166666666666667+0i,-1.5707963267949+0i,0+0i,0.2+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.85+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.883333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.533333333333333+0i,1.5707963267949+0i,0+0i,0.55+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.2+0i,-1.5707963267949+0i,0+0i,0.216666666666667+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.866666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.9+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.55+0i,1.5707963267949+0i,0+0i,0.566666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.216666666666667+0i,-1.5707963267949+0i,0+0i,0.233333333333333+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.883333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.916666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.566666666666667+0i,1.5707963267949+0i,0+0i,0.583333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.233333333333333+0i,-1.5707963267949+0i,0+0i,0.25+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.9+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.933333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.583333333333333+0i,1.5707963267949+0i,0+0i,0.6+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.25+0i,-1.5707963267949+0i,0+0i,0.266666666666667+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.916666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.95+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.6+0i,1.5707963267949+0i,0+0i,0.616666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.266666666666667+0i,-1.5707963267949+0i,0+0i,0.283333333333333+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.933333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.966666666666667+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.616666666666667+0i,1.5707963267949+0i,0+0i,0.633333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
-1.5707963267949+0i,0+0i,0.283333333333333+0i,-1.5707963267949+0i,0+0i,0.3+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.95+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.983333333333333+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,6+0i,1.92367069372179e-16+0i
0.633333333333333+0i,1.5707963267949+0i,0+0i,0.65+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
-1.5707963267949+0i,0+0i,0.3+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.316666666666667+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.966666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0+0i,-1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,7+0i,1.92367069372179e-16+0i
0.65+0i,1.5707963267949+0i,0+0i,0.666666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
-1.5707963267949+0i,0+0i,0.316666666666667+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.333333333333333+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0.983333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0166666666666667+0i,1.5707963267949+0i
0+0i,2+0i,0+0i,0+0i,7+0i,0+0i
0.666666666666667+0i,1.5707963267949+0i,0+0i,0.683333333333333+0i,-1.5707963267949+0i,0+0i
1+0i,0+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
-1.5707963267949+0i,0+0i,0.333333333333333+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.35+0i
1.92367069372179e-16+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
1.92367069372179e-16+0i,0+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0333333333333333+0i,1.5707963267949+0i
0+0i,3+0i,0+0i,0+0i,7+0i,0+0i
0.683333333333333+0i,-0.202707156475901+0i,0+0i,0.7+0i,-1.5707963267949+0i,0+0i
1+0i,-1.5576620008801+0i,0+0i,5+0i,1.92367069372179e-16+0i,0+0i
1.5707963267949+0i,-1.5707963267949+1.01230778638081i,0.35+0i,-1.5707963267949+0i,1.92367069372179e-16+0i,0.366666666666667+0i
0+0i,1+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.0166666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.05+0i,1.5707963267949+0i
0+0i,3+0i,0+0i,0+0i,7+0i,0+0i
0.7+0i,-1.5707963267949+0i,0+0i,0.716666666666667+0i,1.5707963267949+0i,0+0i
1+0i,1.92367069372179e-16+0i,0+0i,5+0i,0+0i,0+0i
1.5707963267949+0i,1.92367069372179e-16+0i,0.366666666666667+0i,-1.5707963267949+0i,0+0i,0.383333333333333+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.0333333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0666666666666667+0i,1.5707963267949+0i
0+0i,3+0i,0+0i,0+0i,7+0i,0+0i
0.716666666666667+0i,1.5707963267949+0i,0+0i,0.733333333333333+0i,1.5707963267949+0i,0+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
1.5707963267949+0i,0+0i,0.383333333333333+0i,-1.5707963267949+0i,0+0i,0.4+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.05+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.0833333333333333+0i,1.5707963267949+0i
0+0i,3+0i,0+0i,0+0i,7+0i,0+0i
0.733333333333333+0i,1.5707963267949+0i,0+0i,0.75+0i,1.5707963267949+0i,0+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
1.5707963267949+0i,0+0i,0.4+0i,-1.5707963267949+0i,0+0i,0.416666666666667+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.0666666666666667+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.1+0i,1.5707963267949+0i
0+0i,3+0i,0+0i,0+0i,7+0i,0+0i
0.75+0i,1.5707963267949+0i,0+0i,0.766666666666667+0i,1.5707963267949+0i,0+0i
1+0i,0+0i,0+0i,5+0i,0+0i,0+0i
1.5707963267949+0i,0+0i,0.416666666666667+0i,-1.5707963267949+0i,0+0i,0.433333333333333+0i
0+0i,0+0i,4+0i,1.92367069372179e-16+0i,0+0i,8+0i
0+0i,0.0833333333333333+0i,1.5707963267949+0i,1.92367069372179e-16+0i,0.116666666666667+0i,1.5707963267949+0i
0+0i,3+0i,0+0i,0+0i,7+0i,0+0i
